category,name,price,description,veg_nonveg,spice_level
Cheese Burst - 3 New Flavours,Fiery Jalapeno & Paprika Pizza,₹278,Molten Cheese Indulgence with jalapeno & red paprika toppings along with spicy peri peri sauce,Veg,Spicy
Cheese Burst - 3 New Flavours,Fiery Sausage & Paprika Pizza,₹348,Molten Cheese Indulgence with spicy & herby chicken sausage and red paprika toppings along with spicy peri peri sauce,Non-Veg,Spicy
Cheese Burst - 3 New Flavours,Blazing Onion & Paprika Pizza,₹278,Molten Cheese Indulgence with onion & red paprika toppings along with spicy peri peri sauce,Veg,Spicy
Cheese Burst - 3 New Flavours,Blazing Chicken & Paprika Pizza,₹348,Molten Cheese Indulgence with a combination of chicken keema & red paprika toppings along with spicy peri peri sauce,Non-Veg,Spicy
Chicken Feast,Saucy Boneless Chicken - Cream & Onion,₹189,Indulge in juicy boneless chicken with creamy onion dip,Non-Veg,Normal
Chicken Feast,Saucy Boneless Chicken - Peri Peri,₹189,Indulge in juicy boneless chicken with  fiery peri peri dip,Non-Veg,Spicy
Chicken Feast,Saucy Chicken Pops - Cream & Onion,₹149,Indulge in spicy chicken Pops with creamy onion dip,Non-Veg,Spicy
Chicken Feast,Saucy Chicken Pops - Peri Peri,₹149,Indulge in spicy chicken Pops with fiery peri peri dip,Non-Veg,Spicy
Chicken Feast,Juicy Boneless Chicken,₹159,"Crispy, juicy boneless thighs seasoned with flavorful chili for a delicious spicy kick. Crunchy on the outside, tender on the inside!",Non-Veg,Spicy
Chicken Feast,Grilled Wings Signature Garlic,₹179,Juicy grilled chicken wings roasted with bold garlic flavors for a delicious taste!,Non-Veg,Normal
Chicken Feast,Grilled Wings Lemon Pepper,₹179,Juicy grilled chicken wings roasted with zesty lemon pepper seasoning for a delicious taste!,Non-Veg,Normal
Chicken Feast,Grilled wings Southern Spice,₹179,Juicy grilled chicken wings roasted with rich Southern spices for a delicious flavor!,Non-Veg,Normal
Chicken Feast,Mini Garlic Cheesiken Rice,₹119,"Juicy Chicken| Creamy Garlic Sauce| Molten Cheese with Rice & Veggies - Onion, Jalapeno & Capsicum",Non-Veg,Normal
Chicken Feast,Mini Tangy Tomato Cheesiken Rice,₹119,"Tender Chicken| Zesty Tomato Sauce| Molten Cheese with Rice & Veggies - Onion, Paprika & Capsicum",Non-Veg,Normal
Chicken Feast,Mini Hot & Fiery Cheesiken Rice,₹119,"Tender Chicken| Guntur Chilli Sauce| Molten Cheese with Rice & Veggies - Onion, Olive & Capsicum",Non-Veg,Spicy
Chicken Feast,Spicy Chicken Pops,₹119,Crispy Chicken Popcorn| Bold Chilli sprinkle| Fiery burst of flavour,Non-Veg,Spicy
